127.0.0.1 - - [19/Jan/2024:10:50:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:50:21 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:50:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:50:21 +0900] "GET /BBS/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:50:21 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:50:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:52:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:52:04 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:52:06 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:52:08 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [19/Jan/2024:10:59:16 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:00:03 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:00:04 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:04:08 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:04:11 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:04:31 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:14:30 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3580
